Date,latent_factor
2022-11-09,27.124250170655294
2022-11-10,23.479082470498795
2022-11-11,20.930128719760905
2022-11-14,21.735216509938176
2022-11-15,21.489007981979277
2022-11-16,21.435429724080723
2022-11-17,22.319262504286055
2022-11-18,22.687746641276043
2022-11-21,23.566998228705472
2022-11-22,22.551919371601596
2022-11-23,21.25379828547067
2022-11-24,21.214521717563716
2022-11-25,21.243522204296582
2022-11-28,22.499668312072348
2022-11-29,22.341265954573636
2022-11-30,20.58243681310564
2022-12-01,18.586971295968482
2022-12-02,18.333982359728253
2022-12-05,20.248028827518045
2022-12-06,21.086299623542335
2022-12-07,20.711388541668367
2022-12-08,20.304416875162815
2022-12-09,20.418926150196324
2022-12-12,21.251228403506968
2022-12-13,18.883054120488485
2022-12-14,18.172485608415048
2022-12-15,19.92272026663697
2022-12-16,19.970083134740545
2022-12-19,19.925486108971555
2022-12-20,18.412186631511812
2022-12-21,18.04018930859475
2022-12-22,19.190917831978165
2022-12-23,18.521753189655332
2022-12-26,18.50262968198944
2022-12-27,18.34378177948552
2022-12-28,18.90493295609
2022-12-29,18.004152306172323
2022-12-30,17.43169301833167
2023-01-02,17.416169132969777
2023-01-03,18.803438105915784
2023-01-04,18.46075861861989
2023-01-05,19.60512787888796
2023-01-06,17.61612147244326
2023-01-09,16.76820105529236
2023-01-10,16.489209175387227
2023-01-11,16.371312954328317
2023-01-12,14.378559722351746
2023-01-13,13.697746560739846
2023-01-16,13.66620583098498
2023-01-17,14.280015760995717
2023-01-18,14.650028798607407
2023-01-19,13.89285916335454
2023-01-20,13.637852853965214
2023-01-23,13.66943061547978
2023-01-24,13.29004718355662
2023-01-25,12.822472278721577
2023-01-26,13.06562668452905
2023-01-27,13.230830634030628
2023-01-30,14.212491850225236
2023-01-31,13.686965246045023
2023-02-01,12.19430253407427
2023-02-02,13.563185343349291
2023-02-03,15.538645817369662
2023-02-06,16.455702390197313
2023-02-07,15.722378506180714
2023-02-08,15.770894784920806
2023-02-09,16.10338867764826
2023-02-10,16.262934179900498
2023-02-13,16.01525928202801
2023-02-14,15.54660950037346
2023-02-15,16.321057553466236
2023-02-16,16.840273442363348
2023-02-17,16.90080341695925
2023-02-20,16.884705728180784
2023-02-21,18.04927705066368
2023-02-22,18.681633057164525
2023-02-23,18.280629092696007
2023-02-24,19.121237401790314
2023-02-27,18.35243190110852
2023-02-28,18.21935155449133
2023-03-01,17.57296796923205
2023-03-02,17.799494441291973
2023-03-03,16.53672488484972
2023-03-06,16.42620733959354
2023-03-07,18.67393366640187
2023-03-08,18.67658314006725
2023-03-09,19.072828430048588
2023-03-10,18.200927722293468
2023-03-13,17.159252466973328
2023-03-14,17.027917845809238
2023-03-15,18.81151998303304
2023-03-16,17.771528536045047
2023-03-17,17.051261540563754
2023-03-20,16.2081366454236
2023-03-21,15.844224805073704
2023-03-22,14.545065490072965
2023-03-23,14.56840686043416
2023-03-24,15.325539079071172
2023-03-27,14.668372112709509
2023-03-28,13.796305944416453
2023-03-29,13.902257948549458
2023-03-30,12.98035845277501
2023-03-31,13.253644535031317
2023-04-03,12.149004891798374
2023-04-04,11.226082516211559
2023-04-05,11.517083426679292
2023-04-06,11.453187075675716
2023-04-07,11.435907272497152
2023-04-10,12.645747662911267
2023-04-11,11.970410721649694
2023-04-12,10.946513447625092
2023-04-13,9.761676759205335
2023-04-14,10.490727603152884
2023-04-17,11.266278399062127
2023-04-18,10.742022346428481
2023-04-19,11.08258511386947
2023-04-20,11.221556427270174
2023-04-21,11.248569457413522
2023-04-24,10.616174421908203
2023-04-25,11.710323882598612
